alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso
2243330112,S,I.C.,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,75,33,100,0,6,3,8,0,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330036,S,I.C.,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,88,56,63,0,7,5,5,0,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330323,H,I.S.C.,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,88,11,75,75,7,1,6,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330213,D,I.I.S.,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,63,44,88,25,5,4,7,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330135,D,I.I.S.,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,75,33,75,50,6,3,6,2,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330195,D,I.I.S.,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,100,22,75,25,8,2,6,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330129,D,I.I.S.,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,75,33,63,75,6,3,5,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330201,D,I.I.S.,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,88,22,63,75,7,2,5,3,59,17,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330285,Q,I.N.,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,88,22,75,50,7,2,6,2,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330388,G,I.S.C. ,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,88,33,50,75,7,3,4,3,59,17,APROBADO,REPROBADO,REPROBADO,APROBADO,REPROBADO,SI
2243330127,E,I.I.S.,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,88,22,88,25,7,2,7,1,59,17,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2233390362,R,I.C.,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,88,11,88,25,7,1,7,1,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2203510162,B,I.C.,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,38,33,75,100,3,3,6,4,55,16,REPROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
