alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso,No_Materias 2024-3,Calificacion 2024-3,No_Materias 2025-1,Calificacion 2025-1,Inscrito 2024-3,Inscrito  2025-1,Termino 2024-3,Termino 2025-1,M_Reprobadas 2024-3,M_Reprobadas 2025-1,M_Aprobadas 2024-3,M_Aprobadas 2025-1,Porcentaje_M_R_2024-3,Porcentaje_M_R_2025-1,Porcentaje_M_A_2024-3,Porcentaje_M_A_2025-1,MAT_No_Materias 2024-3,MAT_Calificacion 2024-3,MAT_No_Materias 2025-1,MAT_Calificacion 2025-1,MAT_Inscrito 2024-3,MAT_Inscrito  2025-1,MAT_M_Reprobadas 2024-3,MAT_M_Reprobadas 2025-1,MAT_M_Aprobadas 2024-3,MAT_M_Aprobadas 2025-1,MAT_Porcentaje_M_R_2024-3,MAT_Porcentaje_M_R_2025-1,MAT_Porcentaje_M_A_2024-3,MAT_Porcentaje_M_A_2025-1,Asistencia_Curso,Periodo,Prom_General,MAT_Prom_General,Mat_Aprobadas_General
2213270084,A,I.C.,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,75,67,63,100,6,6,5,4,72,21,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,8.13,9,7.67,SI,SI,SI,SI,0,0,8,9,0,0,1,1,6,7.83,5,7.4,SI,SI,0,0,6,5,0,0,1,1,0,2024-3,7.886470588,7.634545455,17
2243330124,A,I.C.,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,88,56,63,100,7,5,5,4,72,21,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.88,8,8.88,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,8.67,5,8.6,SI,SI,0,0,6,5,0,0,1,1,0,2024-3,8.88,8.638181818,16
2243330024,R,I.C.,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,88,56,100,0,7,5,8,0,69,20,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI,8,9.13,8,8.25,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,8.83,5,8,SI,SI,0,0,6,5,0,0,1,1,6,2024-3,8.69,8.452727273,16
2243330045,R,I.C.,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,63,78,100,0,5,7,8,0,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,9,8,8,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,8.83,5,7.4,SI,SI,0,0,6,5,0,0,1,1,4,2024-3,8.5,8.18,16
2243330384,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,88,78,63,25,7,7,5,1,69,20,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,8.25,7,7.6,SI,SI,SI,SI,4,2,4,5,0.5,0.29,0.5,0.71,5,7,4,7,SI,SI,3,2,2,2,0.6,0.5,0.4,0.5,4,2024-3,7.946666667,7,9
2243335005,T,I.N.,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,75,44,88,75,6,4,7,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,9,9,9,9.44,SI,SI,SI,SI,0,0,9,9,0,0,1,1,4,9,5,9.2,SI,SI,0,0,4,5,0,0,1,1,3,2024-3,9.22,9.111111111,18
2243330344,H,I.S.C.,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,75,56,75,75,6,5,6,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.57,8,6.25,SI,SI,SI,SI,1,5,7,3,0.13,0.63,0.88,0.38,5,9,5,7.5,SI,SI,1,3,4,2,0.2,0.6,0.8,0.4,4,2024-3,7.41,8.25,10
2243330362,H,I.S.C.,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,75,44,88,75,6,4,7,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.43,8,8.63,SI,SI,SI,SI,1,0,7,8,0.13,0,0.88,1,5,8.5,5,8.6,SI,SI,1,0,4,5,0.2,0,0.8,1,7,2024-3,8.53,8.55,15
2243330311,H,I.S.C.,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,50,100,50,75,4,9,4,3,69,20,REPROBADO,APROBADO,REPROBADO,APROBADO,APROBADO,SI,8,8.71,7,7.86,SI,SI,SI,SI,1,0,7,7,0.13,0,0.88,1,5,8.25,4,7.5,SI,SI,1,0,4,4,0.2,0,0.8,1,6,2024-3,8.313333333,7.916666667,14
2243330344,H,I.S.C.,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,75,56,75,75,6,5,6,3,69,20,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.57,8,6.25,SI,SI,SI,SI,1,5,7,3,0.13,0.63,0.88,0.38,5,9,5,7.5,SI,SI,1,3,4,2,0.2,0.6,0.8,0.4,4,2024-3,7.41,8.25,10
