Accuracy,MAE,RMSE,NUMERO,PercentTest
0.9567901234567902,,,16,0.2
0.9507042253521126,,,16,0.3
0.9917695473251029,,,16,0.4
0.9901477832512315,,,16,0.5
1.0,,,16,0.6
1.0,,,16,0.7
1.0,,,16,0.8
0.9567901234567902,,,17,0.2
0.9507042253521126,,,17,0.3
0.9917695473251029,,,17,0.4
0.9901477832512315,,,17,0.5
1.0,,,17,0.6
1.0,,,17,0.7
1.0,,,17,0.8
0.9567901234567902,,,18,0.2
0.9507042253521126,,,18,0.3
0.9917695473251029,,,18,0.4
0.9901477832512315,,,18,0.5
1.0,,,18,0.6
1.0,,,18,0.7
1.0,,,18,0.8
0.9567901234567902,,,19,0.2
0.9507042253521126,,,19,0.3
0.9917695473251029,,,19,0.4
0.9901477832512315,,,19,0.5
1.0,,,19,0.6
1.0,,,19,0.7
1.0,,,19,0.8
0.9567901234567902,,,20,0.2
0.9507042253521126,,,20,0.3
0.9917695473251029,,,20,0.4
0.9901477832512315,,,20,0.5
1.0,,,20,0.6
1.0,,,20,0.7
1.0,,,20,0.8
0.9567901234567902,,,21,0.2
0.9507042253521126,,,21,0.3
0.9917695473251029,,,21,0.4
0.9901477832512315,,,21,0.5
1.0,,,21,0.6
1.0,,,21,0.7
1.0,,,21,0.8
0.9567901234567902,,,22,0.2
0.9507042253521126,,,22,0.3
0.9917695473251029,,,22,0.4
0.9901477832512315,,,22,0.5
1.0,,,22,0.6
1.0,,,22,0.7
1.0,,,22,0.8
0.9567901234567902,,,23,0.2
0.9507042253521126,,,23,0.3
0.9917695473251029,,,23,0.4
0.9901477832512315,,,23,0.5
1.0,,,23,0.6
1.0,,,23,0.7
1.0,,,23,0.8
0.9567901234567902,,,24,0.2
0.9507042253521126,,,24,0.3
0.9917695473251029,,,24,0.4
0.9901477832512315,,,24,0.5
1.0,,,24,0.6
1.0,,,24,0.7
1.0,,,24,0.8
0.9567901234567902,,,25,0.2
0.9507042253521126,,,25,0.3
0.9917695473251029,,,25,0.4
0.9901477832512315,,,25,0.5
1.0,,,25,0.6
1.0,,,25,0.7
1.0,,,25,0.8
0.9567901234567902,,,26,0.2
0.9507042253521126,,,26,0.3
0.9917695473251029,,,26,0.4
0.9901477832512315,,,26,0.5
1.0,,,26,0.6
1.0,,,26,0.7
1.0,,,26,0.8
0.9567901234567902,,,27,0.2
0.9507042253521126,,,27,0.3
0.9917695473251029,,,27,0.4
0.9901477832512315,,,27,0.5
1.0,,,27,0.6
1.0,,,27,0.7
1.0,,,27,0.8
0.9567901234567902,,,28,0.2
0.9507042253521126,,,28,0.3
0.9917695473251029,,,28,0.4
0.9901477832512315,,,28,0.5
1.0,,,28,0.6
1.0,,,28,0.7
1.0,,,28,0.8
0.9567901234567902,,,29,0.2
0.9507042253521126,,,29,0.3
0.9917695473251029,,,29,0.4
0.9901477832512315,,,29,0.5
1.0,,,29,0.6
1.0,,,29,0.7
1.0,,,29,0.8
0.9567901234567902,,,30,0.2
0.9507042253521126,,,30,0.3
0.9917695473251029,,,30,0.4
0.9901477832512315,,,30,0.5
1.0,,,30,0.6
1.0,,,30,0.7
1.0,,,30,0.8
0.9567901234567902,,,31,0.2
0.9507042253521126,,,31,0.3
0.9917695473251029,,,31,0.4
0.9901477832512315,,,31,0.5
1.0,,,31,0.6
1.0,,,31,0.7
1.0,,,31,0.8
0.9567901234567902,,,32,0.2
0.9507042253521126,,,32,0.3
0.9917695473251029,,,32,0.4
0.9901477832512315,,,32,0.5
1.0,,,32,0.6
1.0,,,32,0.7
1.0,,,32,0.8
0.9567901234567902,,,33,0.2
0.9507042253521126,,,33,0.3
0.9917695473251029,,,33,0.4
0.9901477832512315,,,33,0.5
1.0,,,33,0.6
1.0,,,33,0.7
1.0,,,33,0.8
0.9567901234567902,,,34,0.2
0.9507042253521126,,,34,0.3
0.9917695473251029,,,34,0.4
0.9901477832512315,,,34,0.5
1.0,,,34,0.6
1.0,,,34,0.7
1.0,,,34,0.8
0.9567901234567902,,,35,0.2
0.9507042253521126,,,35,0.3
0.9917695473251029,,,35,0.4
0.9901477832512315,,,35,0.5
1.0,,,35,0.6
1.0,,,35,0.7
1.0,,,35,0.8
0.9567901234567902,,,36,0.2
0.9507042253521126,,,36,0.3
0.9917695473251029,,,36,0.4
0.9901477832512315,,,36,0.5
1.0,,,36,0.6
1.0,,,36,0.7
1.0,,,36,0.8
0.9567901234567902,,,37,0.2
0.9507042253521126,,,37,0.3
0.9917695473251029,,,37,0.4
0.9901477832512315,,,37,0.5
1.0,,,37,0.6
1.0,,,37,0.7
1.0,,,37,0.8
0.9567901234567902,,,38,0.2
0.9507042253521126,,,38,0.3
0.9917695473251029,,,38,0.4
0.9901477832512315,,,38,0.5
1.0,,,38,0.6
1.0,,,38,0.7
1.0,,,38,0.8
0.9567901234567902,,,39,0.2
0.9507042253521126,,,39,0.3
0.9917695473251029,,,39,0.4
0.9901477832512315,,,39,0.5
1.0,,,39,0.6
1.0,,,39,0.7
1.0,,,39,0.8
0.9567901234567902,,,40,0.2
0.9507042253521126,,,40,0.3
0.9917695473251029,,,40,0.4
0.9901477832512315,,,40,0.5
1.0,,,40,0.6
1.0,,,40,0.7
1.0,,,40,0.8
0.9567901234567902,,,41,0.2
0.9507042253521126,,,41,0.3
0.9917695473251029,,,41,0.4
0.9901477832512315,,,41,0.5
1.0,,,41,0.6
1.0,,,41,0.7
1.0,,,41,0.8
0.9567901234567902,,,42,0.2
0.9507042253521126,,,42,0.3
0.9917695473251029,,,42,0.4
0.9901477832512315,,,42,0.5
1.0,,,42,0.6
1.0,,,42,0.7
1.0,,,42,0.8
0.9567901234567902,,,43,0.2
0.9507042253521126,,,43,0.3
